,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Gender_ss,Married_ss,Dependents_ss,Education_ss,Self_Employed_ss,ApplicantIncome_ss,CoapplicantIncome_ss,LoanAmount_ss,Loan_Amount_Term_ss,Credit_History_ss,Property_Area_ss,Gender_normalization,Married_normalization,Dependents_normalization,Education_normalization,Self_Employed_normalization,ApplicantIncome_normalization,CoapplicantIncome_normalization,LoanAmount_normalization,Loan_Amount_Term_normalization,Credit_History_normalization,Property_Area_normalization
0,1,1,0,0,0,5720,0,110.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,-0.7582219937826586,-0.5448116995677182,-0.3348450568863338,1.273228155033665,-0.9135582701537549,-0.40919248080343507,0.0,0.0,1.1187637872164238,1.0,1.0,0.0,0.0,0.0,0.6863450923926085,0.0,-27.658333333333335,-360.0,-1.0,1.0
1,1,1,1,0,0,3076,1500,126.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,0.1818708160762458,-0.5448116995677182,-0.3348450568863338,-0.5180517250627903,0.12821256255566987,-0.005228417710332952,0.0,0.0,1.1187637872164238,1.0,1.0,0.3333333333333333,0.0,0.0,0.36909047276217904,0.2845220030349014,-27.591666666666665,-360.0,-1.0,1.0
2,1,1,2,0,0,5000,1800,208.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,1.1219636259351504,-0.5448116995677182,-0.3348450568863338,0.7854363571254019,0.3365667290975548,2.0650874056418154,0.0,0.0,1.1187637872164238,1.0,1.0,0.6666666666666666,0.0,0.0,0.5999520038396928,0.34142640364188165,-27.25,-360.0,-1.0,1.0
3,1,1,2,0,0,2340,2546,100.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,1.1219636259351504,-0.5448116995677182,-0.3348450568863338,-1.0166833407023481,0.8546740898983755,-0.6616700202366239,0.0,0.0,1.1187637872164238,1.0,1.0,0.6666666666666666,0.0,0.0,0.28077753779697623,0.48292867981790594,-27.7,-360.0,-1.0,1.0
4,1,0,0,1,0,3276,0,78.0,360.0,1.0,2,0.4854793875029462,-1.3186379223081877,-0.7582219937826586,1.835496559257908,-0.3348450568863338,-0.382554003421606,-0.9135582701537549,-1.2171206069896394,0.0,0.0,1.1187637872164238,1.0,0.0,0.0,1.0,0.0,0.3930885529157667,0.0,-27.791666666666668,-360.0,-1.0,1.0
5,1,1,0,1,1,2165,3422,152.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,-0.7582219937826586,1.835496559257908,2.986455912770004,-1.1352438471383843,1.4630682562006794,0.651213184815958,0.0,0.0,1.1187637872164238,1.0,1.0,0.0,1.0,1.0,0.259779217662587,0.6490895295902883,-27.483333333333334,-360.0,-1.0,1.0
6,0,0,1,1,0,2226,0,59.0,360.0,1.0,1,-2.0598196869767857,-1.3186379223081877,0.1818708160762458,1.835496559257908,-0.3348450568863338,-1.0939170420378233,-0.9135582701537549,-1.6968279319126982,0.0,0.0,-0.09598860896235581,0.0,0.0,0.3333333333333333,1.0,0.0,0.26709863210943124,0.0,-27.870833333333334,-360.0,-1.0,0.5
7,1,1,2,1,0,3881,0,147.0,360.0,1.0,0,0.4854793875029462,0.7583582900828203,1.1219636259351504,1.835496559257908,-0.3348450568863338,0.027326604542976217,-0.9135582701537549,0.5249744150993636,0.0,0.0,-1.3107410051411352,1.0,1.0,0.6666666666666666,1.0,0.0,0.4656827453803696,0.0,-27.504166666666666,-360.0,-1.0,0.0
8,1,1,2,0,0,3786,0,125.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,1.1219636259351504,-0.5448116995677182,-0.3348450568863338,-0.037034813236586285,-0.9135582701537549,-0.030476171653651837,0.0,0.0,1.1187637872164238,1.0,1.0,0.6666666666666666,0.0,0.0,0.45428365730741543,0.0,-27.595833333333335,-360.0,-1.0,1.0
9,1,0,0,1,0,2400,2400,123.0,360.0,1.0,1,0.4854793875029462,-1.3186379223081877,-0.7582219937826586,1.835496559257908,-0.3348450568863338,-0.9760340242099929,0.7532750621813248,-0.08097167954028961,0.0,0.0,-0.09598860896235581,1.0,0.0,0.0,1.0,0.0,0.28797696184305255,0.4552352048558422,-27.604166666666668,-360.0,-1.0,0.5
10,1,0,0,1,0,3091,0,90.0,360.0,1.0,2,0.4854793875029462,-1.3186379223081877,-0.7582219937826586,1.835496559257908,-0.3348450568863338,-0.5078893959397014,-0.9135582701537549,-0.9141475596698128,0.0,0.0,1.1187637872164238,1.0,0.0,0.0,1.0,0.0,0.3708903287736981,0.0,-27.741666666666667,-360.0,-1.0,1.0
11,1,1,1,0,0,2185,1516,162.0,360.0,1.0,1,0.4854793875029462,0.7583582900828203,0.1818708160762458,-0.5448116995677182,-0.3348450568863338,-1.1216940749742659,0.13932478477123705,0.9036907242491469,0.0,0.0,-0.09598860896235581,1.0,1.0,0.3333333333333333,0.0,0.0,0.26217902567794577,0.287556904400607,-27.441666666666666,-360.0,-1.0,0.5
12,1,0,3,0,0,4166,0,40.0,360.0,1.0,2,0.4854793875029462,-1.3186379223081877,2.0620564357940547,-0.5448116995677182,-0.3348450568863338,0.22041085788166373,-0.9135582701537549,-2.176535256835757,0.0,0.0,1.1187637872164238,1.0,0.0,1.0,0.0,0.0,0.49988000959923207,0.0,-27.95,-360.0,-1.0,1.0
13,1,1,2,0,0,3786,0,166.0,360.0,1.0,1,0.4854793875029462,0.7583582900828203,1.1219636259351504,-0.5448116995677182,-0.3348450568863338,-0.037034813236586285,-0.9135582701537549,1.0046817400224224,0.0,0.0,-0.09598860896235581,1.0,1.0,0.6666666666666666,0.0,0.0,0.45428365730741543,0.0,-27.425,-360.0,-1.0,0.5
14,0,0,0,0,0,4666,0,124.0,360.0,1.0,1,-2.0598196869767857,-1.3186379223081877,-0.7582219937826586,-0.5448116995677182,-0.3348450568863338,0.5591551619846242,-0.9135582701537549,-0.055723925596970716,0.0,0.0,-0.09598860896235581,0.0,0.0,0.0,0.0,0.0,0.5598752099832014,0.0,-27.6,-360.0,-1.0,0.5
15,1,0,1,0,0,5667,0,131.0,360.0,1.0,2,0.4854793875029462,-1.3186379223081877,0.1818708160762458,-0.5448116995677182,-0.3348450568863338,1.2373212587987512,-0.9135582701537549,0.12101035200626147,0.0,0.0,1.1187637872164238,1.0,0.0,0.3333333333333333,0.0,0.0,0.6799856011519079,0.0,-27.570833333333333,-360.0,-1.0,1.0
16,1,1,2,0,0,4583,2916,200.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,1.1219636259351504,-0.5448116995677182,-0.3348450568863338,0.5029236075035328,1.1116442286333668,1.8631053740952646,0.0,0.0,1.1187637872164238,1.0,1.0,0.6666666666666666,0.0,0.0,0.5499160067194624,0.5531107738998483,-27.283333333333335,-360.0,-1.0,1.0
17,1,1,3,0,0,3786,333,126.0,360.0,1.0,1,0.4854793875029462,0.7583582900828203,2.0620564357940547,-0.5448116995677182,-0.3348450568863338,-0.037034813236586285,-0.6822851452922626,-0.005228417710332952,0.0,0.0,-0.09598860896235581,1.0,1.0,1.0,0.0,0.0,0.45428365730741543,0.0631638846737481,-27.591666666666665,-360.0,-1.0,0.5
18,1,1,0,0,0,3786,1025,125.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,-0.7582219937826586,-0.5448116995677182,-0.3348450568863338,-0.037034813236586285,-0.20168153446898132,-0.030476171653651837,0.0,0.0,1.1187637872164238,1.0,1.0,0.0,0.0,0.0,0.45428365730741543,0.19442336874051594,-27.595833333333335,-360.0,-1.0,1.0
19,1,0,0,0,0,1300,3470,100.0,360.0,1.0,1,0.4854793875029462,-1.3186379223081877,-0.7582219937826586,-0.5448116995677182,-0.3348450568863338,-1.721271493236506,1.496404922847381,-0.6616700202366239,0.0,0.0,-0.09598860896235581,1.0,0.0,0.0,0.0,0.0,0.15598752099832014,0.6581942336874052,-27.7,-360.0,-1.0,0.5
20,1,1,1,1,0,1888,1620,48.0,360.0,1.0,2,0.4854793875029462,0.7583582900828203,0.1818708160762458,1.835496559257908,-0.3348450568863338,-1.3229081916114245,0.21155422917242384,-1.974553225289206,0.0,0.0,1.1187637872164238,1.0,1.0,0.3333333333333333,1.0,0.0,0.22654187664986802,0.30728376327769347,-27.916666666666668,-360.0,-1.0,1.0
21,0,0,3,1,0,2083,0,28.0,360.0,1.0,2,-2.0598196869767857,-1.3186379223081877,2.0620564357940547,1.835496559257908,-0.3348450568863338,-1.1907979130112698,-0.9135582701537549,-2.4795083041555834,0.0,0.0,1.1187637872164238,0.0,0.0,1.0,1.0,0.0,0.24994000479961603,0.0,-28.0,-360.0,-1.0,1.0
22,1,0,0,0,0,3909,0,101.0,360.0,1.0,2,0.4854793875029462,-1.3186379223081877,-0.7582219937826586,-0.5448116995677182,-0.3348450568863338,0.046296285572742006,-0.9135582701537549,-0.636422266293305,0.0,0.0,1.1187637872164238,1.0,0.0,0.0,0.0,0.0,0.46904247660187187,0.0,-27.695833333333333,-360.0,-1.0,1.0
